address_street,address_zip,address_city
Friedrichstrasse 76,10117,Berlin
Neue Schoenhauserstraße 3,10178,Berlin
Kurfürstendamm 11,10719,Berlin
Neue Rothofstrasse 13,60313,Frankfurt am Main
Taunusanlage 8,60329,Frankfurt am Main
Axel-Springer-Platz 3,20355,Hamburg
Gaensemarkt 43,20354,Hamburg
Oskar-von-Miller-Ring 20,80333,Muenchen
Neuturmstraße 5,80331,Muenchen
Friesenplatz 4,50672,Koeln
Bahnhofstrasse 8,30159,Hannover
Koenigsallee 92,40212,Duesseldorf
Sebastianstrasse 38,53115,Bonn
Tuebinger Strasse 26,70178,Stuttgart
33 Rue la Fayette,75009,Paris
Via San Marco 21,20121,Mailand
Rue du Commerce 31,1000,Bruessel
Berliner Allee 59,40212,Duesseldorf
Stadttor 1,40219,Duesseldorf
Oststrasse 10,40211,Duesseldorf
